no.;code;fragebogen;entry TBS;deputat FBS;deputat Vollzeit FBS;jobscope FBS;Übereinstimmung jobscope;Arbeitszeit TBS;Arbeitszeit WR;Arbeitszeit FBS;deputat;deputat_full;jobscope;jobscope FBS2;jobscope TBS;Spalte1;age_tbs;age_fbs;age_Übereinstimmung;age;gender_tbs;gender_fbs;Änderung gender;gender
110;B3XLCDVVFM;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;35,00;25,00;25,00;100,00;Nein;;Prüfen;34;35;1;35;2;1;;2
111;B515F93KL1;2;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;#BEZUG!;#BEZUG!;49,00;Leitungsfunktion;Leitungsfunktion;100,00;Nein;;Prüfen;48;49;1;49;1;2;;1
112;B6TYGL7MDW;1;77,78;21,00;28,00;75,00;0;#BEZUG!;#BEZUG!;37,50;?;?;?;Nein;;Prüfen;52;54;2;54;1;2;;1
113;BABGP1WMM9;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;60,00;25,00;25,00;100,00;Nein;;Prüfen;48;49;1;49;1;2;;1
114;BCQ5113936;1;80,00;20,00;25,00;80,00;1;#BEZUG!;#BEZUG!;55,00;20,00;25,00;80,00;Nein;;Prüfen;31;32;1;32;1;2;;1
115;BHCABZR185;1;64,00;16,00;25,00;64,00;1;#BEZUG!;#BEZUG!;36,00;16,00;25,00;64,00;Nein;;Prüfen;39;40;1;40;1;2;;1
116;BLR8KLDD48;1;100,00;27,00;27,00;100,00;1;#BEZUG!;#BEZUG!;43,00;27,00;27,00;100,00;Nein;;Prüfen;48;48;0;48;2;1;;2
117;BNQPL2Y1Q5;2;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;#BEZUG!;#BEZUG!;45,00;Leitungsfunktion;Leitungsfunktion;100,00;Nein;;Prüfen;39;39;0;39;2;1;;2
118;BNQQAUQXCY;1;50,00;12,50;25,00;50,00;1;#BEZUG!;#BEZUG!;26,00;12,50;25,00;50,00;Nein;;Prüfen;37;37;0;37;1;2;;1
119;BPLCZVXUBA;1;76,00;19,00;25,00;76,00;1;#BEZUG!;#BEZUG!;44,00;19,00;25,00;76,00;Nein;;Prüfen;46;46;0;46;1;2;;1
120;BT6V7A1YF9;2;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;#BEZUG!;#BEZUG!;50,00;Leitungsfunktion;Leitungsfunktion;100,00;Nein;;Prüfen;55;56;1;56;2;1;;2
121;BVEST3S2XM;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;44,00;25,00;25,00;100,00;Nein;;Prüfen;55;56;1;56;2;1;;2
